date,close
2023-01-03,166.3000030517578
2023-01-04,161.3000030517578
2023-01-05,160.5500030517578
2023-01-06,158.3000030517578
2023-01-09,158.0500030517578
2023-01-10,150.89999389648438
2023-01-11,143.89999389648438
2023-01-12,149.39999389648438
2023-01-13,151.6999969482422
2023-01-17,151.10000610351562
2023-01-18,155.0
2023-01-19,154.60000610351562
2023-01-20,154.8000030517578
2023-01-23,158.5500030517578
2023-01-24,159.85000610351562
2023-01-25,162.4499969482422
2023-01-26,167.14999389648438
2023-01-27,169.89999389648438
2023-01-30,170.39999389648438
2023-01-31,181.75
2023-02-01,175.89999389648438
2023-02-02,177.89999389648438
2023-02-03,172.8000030517578
2023-02-06,175.6999969482422
2023-02-07,177.0500030517578
2023-02-08,175.60000610351562
2023-02-09,173.64999389648438
2023-02-10,174.75
2023-02-13,177.0500030517578
2023-02-14,183.5500030517578
2023-02-15,176.85000610351562
2023-02-16,180.6999969482422
2023-02-17,188.6999969482422
2023-02-21,194.4499969482422
2023-02-22,199.5
2023-02-23,193.64999389648438
2023-02-24,191.1999969482422
2023-02-27,190.6999969482422
2023-02-28,190.39999389648438
2023-03-01,185.3000030517578
2023-03-02,183.9499969482422
2023-03-03,180.8000030517578
2023-03-06,182.4499969482422
2023-03-07,184.5500030517578
2023-03-08,179.5500030517578
2023-03-09,178.0
2023-03-10,182.25
2023-03-13,183.1999969482422
2023-03-14,180.89999389648438
2023-03-15,178.0500030517578
2023-03-16,185.5
2023-03-17,183.0
2023-03-20,184.89999389648438
2023-03-21,186.6999969482422
2023-03-22,178.0
2023-03-23,174.3000030517578
2023-03-24,179.25
2023-03-27,176.89999389648438
2023-03-28,173.75
2023-03-29,169.6999969482422
2023-03-30,169.8000030517578
2023-03-31,170.5
2023-04-03,176.25
2023-04-04,174.85000610351562
2023-04-05,180.14999389648438
2023-04-06,183.60000610351562
2023-04-10,182.60000610351562
2023-04-11,190.5
2023-04-12,190.25
2023-04-13,196.10000610351562
2023-04-14,193.39999389648438
2023-04-17,201.0
2023-04-18,205.25
